text,category,isenglish,translate
திருநெல்வேலி யாதவர் சமுதாயம் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்,NOT,False,திருநெல்வேலி யாதவர் சமுதாயம் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
அனைத்து தமிழ் உறவுகளும் பார்க்க வேண்டிய படம்.....தமிழ் மக்களின் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்.....படத்தின் டிரெய்லர் அருமையாக உள்ளது....இந்த மாதிரி படம் தற்போது தேவையான ஒன்று....ஒரு சந்தேகம்.....சிலர் அசுரனை விட பெரிதாக இருக்க வேண்டும் என்று கூறுகிறார்கள்....அந்த கருத்தை கொஞ்சம் தெளிவு படுத்துகள்.....ஒரு வேண்டுகோள்.....யாரும் இந்த மாதிரி படத்திற்கு சாதிச்சாயம் பூசாதீர்கள்....படத்தின் தோல்விக்கு அதுவே காரணமாகும்....இந்த மாதிரியான படம் தேவையான ஒன்று.....,NOT,False,அனைத்து தமிழ் உறவுகளும் பார்க்க வேண்டிய படம்.....தமிழ் மக்களின் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்.....படத்தின் டிரெய்லர் அருமையாக உள்ளது....இந்த மாதிரி படம் தற்போது தேவையான ஒன்று....ஒரு சந்தேகம்.....சிலர் அசுரனை விட பெரிதாக இருக்க வேண்டும் என்று கூறுகிறார்கள்....அந்த கருத்தை கொஞ்சம் தெளிவு படுத்துகள்.....ஒரு வேண்டுகோள்.....யாரும் இந்த மாதிரி படத்திற்கு சாதிச்சாயம் பூசாதீர்கள்....படத்தின் தோல்விக்கு அதுவே காரணமாகும்....இந்த மாதிரியான படம் தேவையான ஒன்று.....
வர வர தமிழ் பெயரே வைக்க மாடிகிருங்க ஆங்கிலம் பெயர் அதிகமா இருக்கு நம்ம படத்துல,OFF,False,வர வர தமிழ் பெயரே வைக்க மாடிகிருங்க ஆங்கிலம் பெயர் அதிகமா இருக்கு நம்ம படத்துல
படம் வெற்றி பெற வாழ்த்துக்கள் கதிர் நாடார் தூத்துக்குடி கூட்டாம்புளி,NOT,False,படம் வெற்றி பெற வாழ்த்துக்கள் கதிர் நாடார் தூத்துக்குடி கூட்டாம்புளி
பரியெறும் பெருமாள்; அசுரன் திரைப்படத்திற்கு எவ்வாறு பிற சமூகங்கள் கொண்டாடியதோ அதேபோல தான் கொம்பன் தேவராட்டம் திரௌபதி போன்ற படங்களையும் அனைத்து மக்களும் கொண்டாடுகின்றனர். நடுநிலை நக்கீ னு கூவூற சாதி வெறி பிடித்த திருட்டு திராவிட கபோதிகளே; சுயசாதி பெருமையை பீற்றும் பறையன் என்ற போர்வையில் திரியும் பண்டாரங்களே. இந்த பிழைப்பிற்கு போற வர்றவன் பூள சப்பூங்கடா,OFF,False,பரியெறும் பெருமாள்; அசுரன் திரைப்படத்திற்கு எவ்வாறு பிற சமூகங்கள் கொண்டாடியதோ அதேபோல தான் கொம்பன் தேவராட்டம் திரௌபதி போன்ற படங்களையும் அனைத்து மக்களும் கொண்டாடுகின்றனர். நடுநிலை நக்கீ னு கூவூற சாதி வெறி பிடித்த திருட்டு திராவிட கபோதிகளே; சுயசாதி பெருமையை பீற்றும் பறையன் என்ற போர்வையில் திரியும் பண்டாரங்களே. இந்த பிழைப்பிற்கு போற வர்றவன் பூள சப்பூங்கடா
நான் அரசியலுக்கு வருவது உறுதி ரஜினி ய வச்சி செஞ்சிருங்காக.  செம்ம,OFF,False,நான் அரசியலுக்கு வருவது உறுதி ரஜினி ய வச்சி செஞ்சிருங்காக.  செம்ம
@Memecreator . நிறைய விசயம் இருக்கும் போலயே வைச்சு செய்ய,OFF,True,@Memecreator . நிறைய விசயம் இருக்கும் போலயே வைச்சு செய்ய
எல்லாரும் படம் டிரெயிலர் நல்லா கவனிச்சிங்க.நான் சாய் பல்லவி கண்னத்தை தானே கவனிச்சேன்..அது என் அம்முட்டு சிவப்பா இருக்கு,NOT,False,எல்லாரும் படம் டிரெயிலர் நல்லா கவனிச்சிங்க.நான் சாய் பல்லவி கண்னத்தை தானே கவனிச்சேன்..அது என் அம்முட்டு சிவப்பா இருக்கு
5பேரு கூட படுத்தாலும் அது எங்க சாதிக்காரனத் தான் இருக்கனும்...1000பேர் என் சோலைய உருவுனாலும் அதுவும் எங்க சாதிக்காரனத் தான் இருக்கனும்.   இப்படிக்கு   திரெளபதி..,OFF,False,5பேரு கூட படுத்தாலும் அது எங்க சாதிக்காரனத் தான் இருக்கனும்...1000பேர் என் சோலைய உருவுனாலும் அதுவும் எங்க சாதிக்காரனத் தான் இருக்கனும்.   இப்படிக்கு   திரெளபதி..
இப்படிதான்  தல  நம்பி உன்னை  அறிந்தால்  வந்தோம்  வச்சுல்ல  செஞ்சிங்க,OFF,False,இப்படிதான்  தல  நம்பி உன்னை  அறிந்தால்  வந்தோம்  வச்சுல்ல  செஞ்சிங்க
மற்ற ஜாதி பொண்ணு தொடணும் நினைக்கிற பரதேசி பசங்களுக்கு பயம் வரணும்,OFF,False,மற்ற ஜாதி பொண்ணு தொடணும் நினைக்கிற பரதேசி பசங்களுக்கு பயம் வரணும்
மாமவளவன் பணம் சம்பாதிக்க நடத்தும் நாடக காதல் பல வருஷமா பல நல்ல குடும்பத்தை நாசம் பண்ணிடுச்சு.  ஓடி பொய் திருட்டு கல்யாணத்த பண்ணிட்டு பெத்த அப்பன் கிட்டயே உன் பொண்ணு போர் அடிக்குது அமௌன்ட் குடு அத்து உடோறோம் சொன்ன எப்படி இருக்கும். இத பஞ்சாயத்து பண்ண ஒரு பெரிய குரூப் தான் இந்த நாதாரி நாய்ங்க.  நாங்க வெட்டினாலும் ரத்தம் வரும் தெரிஞ்ச  செரி,OFF,False,மாமவளவன் பணம் சம்பாதிக்க நடத்தும் நாடக காதல் பல வருஷமா பல நல்ல குடும்பத்தை நாசம் பண்ணிடுச்சு.  ஓடி பொய் திருட்டு கல்யாணத்த பண்ணிட்டு பெத்த அப்பன் கிட்டயே உன் பொண்ணு போர் அடிக்குது அமௌன்ட் குடு அத்து உடோறோம் சொன்ன எப்படி இருக்கும். இத பஞ்சாயத்து பண்ண ஒரு பெரிய குரூப் தான் இந்த நாதாரி நாய்ங்க.  நாங்க வெட்டினாலும் ரத்தம் வரும் தெரிஞ்ச  செரி
சப்பாத்த தண்ணீக்க விட்டே இந்த விஜய் ஓட்டிட்டிருக்கார் ரொம்ப நாளா.. நாமளும் பண்ணலாம் ஆனா சொக்ஸ் எல்லாம் நாறிடும..,OFF,False,சப்பாத்த தண்ணீக்க விட்டே இந்த விஜய் ஓட்டிட்டிருக்கார் ரொம்ப நாளா.. நாமளும் பண்ணலாம் ஆனா சொக்ஸ் எல்லாம் நாறிடும..
வைரவருக்கு நாய் வாய்ச்சமாதிரி தான் விஜய் அண்ணா haters கு பைரவா வாய்ச்சிருக்கு!!!,OFF,True,வைரவருக்கு நாய் வாய்ச்சமாதிரி தான் விஜய் அண்ணா haters கு பைரவா வாய்ச்சிருக்கு!!
பா ரஞ்சித் போன்ற இயக்குனர்களுக்கு உண்மையை உரக்கச் சொன்ன மோகன் அவர்களுக்கு நன்றி.படம் வெற்றி பெற வாழ்த்துகிறேன்.,NOT,False,பா ரஞ்சித் போன்ற இயக்குனர்களுக்கு உண்மையை உரக்கச் சொன்ன மோகன் அவர்களுக்கு நன்றி.படம் வெற்றி பெற வாழ்த்துகிறேன்.
ஒத்தா குருமா தம்பிங்க வாயில வச்சுக்கங்க ஆம்பளையா பொறந்திருந்தா  ஒரு பறையன் ஒரு சக்கிலி பொண்ணு கல்யாணம் பண்ணுடா பார்க்கலாம் அப்ப மட்டும் ஏன் உங்க சமத்துவம் இருக்குதா என்ன,OFF,False,ஒத்தா குருமா தம்பிங்க வாயில வச்சுக்கங்க ஆம்பளையா பொறந்திருந்தா  ஒரு பறையன் ஒரு சக்கிலி பொண்ணு கல்யாணம் பண்ணுடா பார்க்கலாம் அப்ப மட்டும் ஏன் உங்க சமத்துவம் இருக்குதா என்ன
உண்மையாக காதலிக்கும் எவனும் திரௌபதி படத்தை பார்த்து கதற மாட்டான் .... நாடக காதல் கும்பல் மட்டும் தான் இப்போ கதறுகிறது....,OFF,False,உண்மையாக காதலிக்கும் எவனும் திரௌபதி படத்தை பார்த்து கதற மாட்டான் .... நாடக காதல் கும்பல் மட்டும் தான் இப்போ கதறுகிறது....
"திராவிட கன்னடபெரியாரின் சாதி மறுப்பு என்பது சாதி பெருமை பேசுபவர்கள் உயர்சாதி எனப்படுவர் மட்டுமின்றி தலித் ஆக இருந்தாலும் அவரும் சாதி வெறியரே இதுவே உண்மை ஆனால் சாதி ஒழிக்கிறேன் சொல்றவங்க தான் சாதி வளர்கிறார்கள் அனைவரும் இட ஒதுக்கீடு சலுகைகள் பெற சாதி ‌பயன்படுத்துவோம் ஆக சாதி ஒழிக்கவே முடியாது சாதி உள்ளதடி பாப்பா என இயக்குனர் கூறியது சரியே தரமான படமாக அமைந்தது அருமை வாழ்த்துக்கள் இப்படத்திற்கு  முக்கலத்தோர், உடையார் ,வன்னியர் ,கவுண்டர், முதலியார், தேவந்திரகுலத்தவர்கள்  சார்பாக வாழ்த்துக்கள் என அனைத்து சமூகம் நாடக காதல் ஒழிக்க முன்வருவது மகிழ்ச்சி அதே சமயம் நம் பசங்க பாலியல் குற்றங்கள் செய்தால் நாமே தண்டிக்கவும் தவறக்கூடாது",NOT,False,"திராவிட கன்னடபெரியாரின் சாதி மறுப்பு என்பது சாதி பெருமை பேசுபவர்கள் உயர்சாதி எனப்படுவர் மட்டுமின்றி தலித் ஆக இருந்தாலும் அவரும் சாதி வெறியரே இதுவே உண்மை ஆனால் சாதி ஒழிக்கிறேன் சொல்றவங்க தான் சாதி வளர்கிறார்கள் அனைவரும் இட ஒதுக்கீடு சலுகைகள் பெற சாதி ‌பயன்படுத்துவோம் ஆக சாதி ஒழிக்கவே முடியாது சாதி உள்ளதடி பாப்பா என இயக்குனர் கூறியது சரியே தரமான படமாக அமைந்தது அருமை வாழ்த்துக்கள் இப்படத்திற்கு  முக்கலத்தோர், உடையார் ,வன்னியர் ,கவுண்டர், முதலியார், தேவந்திரகுலத்தவர்கள்  சார்பாக வாழ்த்துக்கள் என அனைத்து சமூகம் நாடக காதல் ஒழிக்க முன்வருவது மகிழ்ச்சி அதே சமயம் நம் பசங்க பாலியல் குற்றங்கள் செய்தால் நாமே தண்டிக்கவும் தவறக்கூடாது"
போராடமா அவன் போகவும் மாட்டான் சாகவும் மாட்டான் தல அல்டிமேட் பீனிக்ஸ் பறவைத்தான்,NOT,False,போராடமா அவன் போகவும் மாட்டான் சாகவும் மாட்டான் தல அல்டிமேட் பீனிக்ஸ் பறவைத்தான்
தயவு செய்து தேவையற்ற Graphics கலை குறைக்கவும்,OFF,True,தயவு செய்து தேவையற்ற Graphics கலை குறைக்கவும்
திருமாவளவன் உனக்கு தரமான செருப்பு அடி இருக்கு டா,OFF,False,திருமாவளவன் உனக்கு தரமான செருப்பு அடி இருக்கு டா
2020 ஆரம்பமே பற புண்டைங்ஙளுங்கு ஆப்பு வைக்குறோம்.... இனி தான்டா வன்னியர்களோட வேட்டை ஆரம்பம்... எங்க பொண்ணுங்கள கல்யாணம் பன்னி சோறு திங்குறது எங்களோட எச்சைய() திங்குறதுக்கு சமம்... மாவீரன் தம்பி டா....,OFF,False,2020 ஆரம்பமே பற புண்டைங்ஙளுங்கு ஆப்பு வைக்குறோம்.... இனி தான்டா வன்னியர்களோட வேட்டை ஆரம்பம்... எங்க பொண்ணுங்கள கல்யாணம் பன்னி சோறு திங்குறது எங்களோட எச்சைய() திங்குறதுக்கு சமம்... மாவீரன் தம்பி டா....
லவ் பண்ண மட்டும் போதாது மேட்டரை முடிச்சுட்டு சொன்ன அது சமூகம்  பொண்ணு மேல கை வைச்ச வெட்டுவோம் சொன்ன சாதி சாதி வேண்டாம் ஆன தாழ்த்தப்பட்டோர்  சலுகை வேணும்ல,OFF,False,லவ் பண்ண மட்டும் போதாது மேட்டரை முடிச்சுட்டு சொன்ன அது சமூகம்  பொண்ணு மேல கை வைச்ச வெட்டுவோம் சொன்ன சாதி சாதி வேண்டாம் ஆன தாழ்த்தப்பட்டோர்  சலுகை வேணும்ல
ஆடேய் என்னடா...comment sectionல எல்லா ஜாதி சார்பா வாழ்த்துக்கள் போடுரீங்க....,NOT,True,ஆடேய் என்னடா... comment sectionல எல்லா ஜாதி சார்பா வாழ்த்துக்கள் போடுரீங்க....
trailer பார்த்துட்டு ஆய்த எழுத்து சூர்யா ஞாபகம்   வந்தா மட்டும் like போடுங்க,NOT,True,trailer பார்த்துட்டு ஆய்த எழுத்து சூர்யா ஞாபகம் வந்தா மட்டும் like போடுங்க
நீங்க சொன்ன ஒவ்வொரு  வார்த்தையும் இந்த சலுகையில வாழுர  Bc -30% MBC -20% Oc -10%  Sc-15% ScA--3% St-1%    நாயகள செருப்பால அடிச்சா மாதிரி இருந்துச்சு நண்பா   ( உங்களுக்கு எப்போ தான் டா அறிவு இங்கிறது ஊருகா அளவுக்காச்சும் வளர போகுது 🤦),OFF,True,நீங்க சொன்ன ஒவ்வொரு வார்த்தையும் இந்த சலுகையில வாழுர Bc -30% MBC -20% Oc -10% Sc-15% ScA--3% St-1% நாயகள செருப் அடிபாலச்சா மாதிரி இருந்துச்சு நண்பா ( உங்களுக்கு எப்போ தான் டா அறிவு இங்கிறது ஊருகா அளவுக்காச்சும் வளரு போகது 🤦 )
இந்த trailer பார்த்தா கேப்டன் விஜயகாந்த் நடித்த நரசிம்மா படம் மாதிரி தான் இருக்கு ஒரு வேளை அந்த படத்த தான் ரீமேக் செய்யத மாதிரி இருக்கு,OFF,True,இந்த trailer பார்த்தா கேப்டன் விஜயகாந்த் நடித்த நரசிம்மா படம் மாதிரி தான் இருக்கு ஒரு வேளை அந்த படத்த தான் ரீமேக் செய்யத மாதிரி இருக்கு
திருநெல்வேலி சைவ வெள்ளாளர் இளைஞர்கள் சார்பாக. வாழ்த்துகிறேன்,NOT,False,திருநெல்வேலி சைவ வெள்ளாளர் இளைஞர்கள் சார்பாக. வாழ்த்துகிறேன்
எங்க ஊர் நன்னிலம் கும்பகோணம் பக்கம்... என் சொந்த ஊர்...,NOT,False,எங்க ஊர் நன்னிலம் கும்பகோணம் பக்கம்... என் சொந்த ஊர்...
வீடியோவை பார்க்காம பாக்குறதுக்கு முன்னாடி Like. பண்ணிட்டு பார்த்த தல FANS எவ்ளோ பேரு இருக்கீங்க  Oru Like. Poduga...friends...,NOT,True,வீடியோவை பார்க்காம பாக்குறதுக்கு முன்னாடி Like. பண்ணிட்டு பார்த்த தல FANS எவ்ளோ பேரு இருக்கீங்க Oru Like. போடுகா... அணுக்க உறவினர்...
இன்னும் கொஞ்ச நாளில் மிஷ்கின் மனநோயால் பாதிக்கபட்டு சிகிச்சை எடுக்கவேண்டி வரும் போல் இருக்கு.,OFF,False,இன்னும் கொஞ்ச நாளில் மிஷ்கின் மனநோயால் பாதிக்கபட்டு சிகிச்சை எடுக்கவேண்டி வரும் போல் இருக்கு.
மேலூர் தேவரினம்( கள்ளர்) சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்,NOT,False,மேலூர் தேவரினம்( கள்ளர்) சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
அடேய் இப்ப தாண்டா எனக்கு நிம்மதியா இருக்கு யாருடா அந்த இரண்டு லட்சம் லைக்  போட்டாங்கன்னு பார்த்தேன் டா வின் டிவி கிஷோர் சாமி உங்க குரூப் தானா. தப்பு செய்றவன் மட்டும் தாண்டா தண்டிப்பார்கள் என் தமிழ் மக்கள். இப்படி எல்லா தலித் மக்களை ஒதுக்கி வைக்க மாட்டாங்க யாரையும் குற்றம் சொல்ல மாட்டாங்க. ஒரு மூணு லட்சம் பேர் இருக்காங்க  இந்த மாதிரி...  பெண்களை  காப்பாற்றுவேன் என்று சொல்லிட்டு  அவர்களை எடுப்பார் கைப்பிள்ளையாக அசிங்கம் படுத்துகிறீர்களாட,OFF,False,அடேய் இப்ப தாண்டா எனக்கு நிம்மதியா இருக்கு யாருடா அந்த இரண்டு லட்சம் லைக்  போட்டாங்கன்னு பார்த்தேன் டா வின் டிவி கிஷோர் சாமி உங்க குரூப் தானா. தப்பு செய்றவன் மட்டும் தாண்டா தண்டிப்பார்கள் என் தமிழ் மக்கள். இப்படி எல்லா தலித் மக்களை ஒதுக்கி வைக்க மாட்டாங்க யாரையும் குற்றம் சொல்ல மாட்டாங்க. ஒரு மூணு லட்சம் பேர் இருக்காங்க  இந்த மாதிரி...  பெண்களை  காப்பாற்றுவேன் என்று சொல்லிட்டு  அவர்களை எடுப்பார் கைப்பிள்ளையாக அசிங்கம் படுத்துகிறீர்களாட
சிறந்த கருத்தாக்கம்....  இந்த காவியம் வெற்றி பெற இயக்குனர் அவர்களுக்கு வாழ்த்துக்கள்....,NOT,False,சிறந்த கருத்தாக்கம்....  இந்த காவியம் வெற்றி பெற இயக்குனர் அவர்களுக்கு வாழ்த்துக்கள்....
"1. கோடிக்கணக்கில் செலவு செய்து விளம்பரம் செய்யவில்லை.! 2. பெரிய நடிகர், நடிகைகளும் நடிக்கவில்லை.! 3. பிரபல தொழில்நுட்ப கலைஞர்களும் இதில் வேலை செய்யவில்லை.!  எப்படி சாத்தியமானது ஒரே நாளில் 1 Million பார்வையாளர்களைக் கடந்து போகும் இந்த ட்ரெய்லர்???  நாடகக் காதலை எதிர்க்கும் நம் போன்றவர்களின் துணிச்சலே இதற்கு காரணம்.!  #திரெளபதி குழுவினருக்கு மனமார்ந்த நன்றிகள்...",NOT,True,"1. கோடிக்கணக்கில் செலவு செய்து விளம்பரம் செய்யவில்லை.! 2. பெரிய நடிகர், நடிகைகளும் நடிக்கவில்லை.! 3. பிரபல தொழில்நுட்ப கலைஞர்களும் இதில் வேலை செய்யவில்லை.!  எப்படி சாத்தியமானது ஒரே நாளில் 1 Million பார்வையாளர்களைக் கடந்து போகும் இந்த ட்ரெய்லர்???  நாடகக் காதலை எதிர்க்கும் நம் போன்றவர்களின் துணிச்சலே இதற்கு காரணம்.!  #திரெளபதி குழுவினருக்கு மனமார்ந்த நன்றிகள்..."
ஆதரவாக கமாண்ட் போட்ட அனைத்து நல்ல உள்ளங்களுக்கும் கோடி கோடி நன்றிகள்.......  அடுத்து ஒரு இயக்குனர் உதயமாக வாழ்த்துகள்.....  2020 ல் இருந்து நாடக காதல் அழிய விதை விதைப்போம்.....,NOT,False,ஆதரவாக கமாண்ட் போட்ட அனைத்து நல்ல உள்ளங்களுக்கும் கோடி கோடி நன்றிகள்.......  அடுத்து ஒரு இயக்குனர் உதயமாக வாழ்த்துகள்.....  2020 ல் இருந்து நாடக காதல் அழிய விதை விதைப்போம்.....
வணக்கம் டா மாப்ள வேதாரண்யத்துலேருந்து.. தரமான சம்பவம் காத்துட்டு இருக்கு,NOT,False,வணக்கம் டா மாப்ள வேதாரண்யத்துலேருந்து.. தரமான சம்பவம் காத்துட்டு இருக்கு
புதிய முயற்சிக்கு வரவேற்க்கிறோம் அது கொஞ்சம் புரியுர மாதிரியும் இருந்தா நல்லாருக்கும்...,NOT,False,புதிய முயற்சிக்கு வரவேற்க்கிறோம் அது கொஞ்சம் புரியுர மாதிரியும் இருந்தா நல்லாருக்கும்...
தமிழகத்தில் எத்தனை ஜாதி மக்கள் வெறி பிடித்து இருக்கின்றன என்பதற்கு இந்த வீடியோவில் உள்ள comments படித்தால் போதும் போல. செத்த பின்பு எல்லாம் பிணம் தான். என்று தான் செத்து ஒழியுமோ இந்த ஜாதி வெரி. 🤨,OFF,True,தமிழகத்தில் எத்தனை ஜாதி மக்கள் வெறி பிடித்து இருக்கின்றன என்பதற்கு இந்த வீடியோவில் உள்ள comments படித்தால் போதும் போல. செத்த பின்பு எல்லாம் பிணம் தான். என்று தான் செத்து ஒழியுமோ இந்த ஜாதி வெரி. 🤨
நாகை கவுண்டர் சார்பாக வாழ்த்துக்கள்..... படம்,NOT,False,நாகை கவுண்டர் சார்பாக வாழ்த்துக்கள்..... படம்
"சுயநல திருமாவளவன் SC சமுதாய மக்களையே முட்டாளாக்கி வருகிறார். ஹிந்துக்களை அவமதிக்கிறார், தன் மக்களையே மதம் மாற செய்கிறார்.   அந்த கட்சியின் நாடகங்களை தோலுரிப்பதாக இப்படம் அமைந்திருக்குமானால் மகிழ்ச்சி. SC சமூக மக்களுக்கும் மற்ற சமூகத்தவர்களுக்கும் இடையே பிளவு ஏற்படுத்தா வண்ணம் இந்த படம் இருக்கும் என நம்புகிறேன். ஹிந்து அனைவரும் சகோதரர்கள், ஹிந்து எவருமே தாழ்ந்தவர் ஆகார் என்பதை நினைவில் கொள்வோம்.",NOT,True,"சுயநல திருமாவளவன் SC சமுதாய மக்களையே முட்டாளாக்கி வருகிறார். ஹிந்துக்களை அவமதிக்கிறார், தன் மக்களையே மதம் மாற செய்கிறார்.   அந்த கட்சியின் நாடகங்களை தோலுரிப்பதாக இப்படம் அமைந்திருக்குமானால் மகிழ்ச்சி. SC சமூக மக்களுக்கும் மற்ற சமூகத்தவர்களுக்கும் இடையே பிளவு ஏற்படுத்தா வண்ணம் இந்த படம் இருக்கும் என நம்புகிறேன். ஹிந்து அனைவரும் சகோதரர்கள், ஹிந்து எவருமே தாழ்ந்தவர் ஆகார் என்பதை நினைவில் கொள்வோம்."
ஜாதி தான் நிறைய இருக்கு ஜாதி இபில்ல னு சொல்ல தான் எந்த பாப்பா வும் தயாரா இல்ல,NOT,False,ஜாதி தான் நிறைய இருக்கு ஜாதி இபில்ல னு சொல்ல தான் எந்த பாப்பா வும் தயாரா இல்ல
இந்த நாட்டுல ஒவ்வொருக்கும் ஒரு மேல பைத்தியம் எனக்கு சூரியா அண்ணா மேல பைத்தியம்,NOT,False,இந்த நாட்டுல ஒவ்வொருக்கும் ஒரு மேல பைத்தியம் எனக்கு சூரியா அண்ணா மேல பைத்தியம்
ஆடா கேடு கேட்டவனுங்களா trailerர போடுங்கடனா மொத்த படத்தையுமே போட்டுருக்குகிறீங்க   படத்தோட கதைய மொத்தமா சொல்லிட்டிங்க,OFF,False,ஆடா கேடு கேட்டவனுங்களா trailerர போடுங்கடனா மொத்த படத்தையுமே போட்டுருக்குகிறீங்க   படத்தோட கதைய மொத்தமா சொல்லிட்டிங்க
படம் வெற்றி பெற வாழ்த்துக்கள்.. அனைவர் தரப்பு நியாயத்தையும் சொல்ல உரிமையுள்ளது..,NOT,False,படம் வெற்றி பெற வாழ்த்துக்கள்.. அனைவர் தரப்பு நியாயத்தையும் சொல்ல உரிமையுள்ளது..
எங்களுக்கு மண்ணும் பொண்ணும் இரண்டுமே முக்கியம் தான் வீர தேவேந்திர குல வேளாளர்,NOT,False,எங்களுக்கு மண்ணும் பொண்ணும் இரண்டுமே முக்கியம் தான் வீர தேவேந்திர குல வேளாளர்
எங்கள் ஊர் மேலச்சேரி திரௌபதி அம்மன் அருளால் இப்படம் மிக பெரிய வெற்றி பெற வேண்டும் வாழ்த்துக்கள்,NOT,False,எங்கள் ஊர் மேலச்சேரி திரௌபதி அம்மன் அருளால் இப்படம் மிக பெரிய வெற்றி பெற வேண்டும் வாழ்த்துக்கள்
